id,year,group,points,problem_number
01_34_p1_b8f54303-7acc-4ef0-838f-a659eb00f1fe,2001,3-4,3,3
01_34_p2_8c51874f-8d68-44a2-ac26-4e48e5c7142a,2001,3-4,3,7
01_34_p2_7f957e38-20ff-4f7f-8181-a1982938ee06,2001,3-4,4,9
01_34_p4_b9c97aac-15b1-4a14-8ba4-6a99ce2ff32a,2001,3-4,5,17
01_34_p4_bad79dd6-17d6-4be2-b0ef-8acfe8bf2607,2001,3-4,5,19
01_34_p4_3d5ce627-4c5c-4cf6-b2a0-6820815b0095,2001,3-4,5,21
01_56_p1_1b47fa34-8cea-42bb-af9e-c13030263142,2001,5-6,3,4
01_56_p2_6212a66f-aa5a-40d6-8f09-64246cf9e0cc,2001,5-6,4,16
01_56_p3_d7ae549b-7df8-4983-be87-21864307f66f,2001,5-6,4,19
01_56_p3_4863975e-e15d-4eaf-98e9-0fb4c0453103,2001,5-6,5,21
01_56_p3_cee46f26-8e30-40ee-8786-d41682b398e6,2001,5-6,5,22
01_56_p4_8a0b9ebc-71ee-4144-a567-389c1a877282,2001,5-6,5,25
01_56_p4_ee7e5508-581f-41bc-b417-4c9ce336c444,2001,5-6,5,27
01_78_p1_c9d5f7d8-7a56-4f5e-a78c-00c71a74e42b,2001,7-8,3,1
01_78_p1_97e35768-8358-4871-ad1f-177fa9c7355d,2001,7-8,3,3
01_78_p1_56ac6b41-1308-4d10-9755-b2197049efa4,2001,7-8,3,5
01_78_p1_76db1e8c-8388-405e-8a6c-708b6196349c,2001,7-8,3,6
01_78_p2_446689a0-bb2d-4865-b5bb-231cea1699fc,2001,7-8,4,11
01_78_p2_f5098cdc-11ee-4c45-882d-15dfbf4902cd,2001,7-8,4,13
01_78_p4_5e5cc7fa-e239-436a-be82-1c8979e8df64,2001,7-8,5,27
01_910_p1_bd608994-3122-4f10-8044-56ece78bab6d,2001,9-10,3,6
01_910_p2_d11eecf2-2e8a-4388-855a-62ab7abcdb26,2001,9-10,3,8
01_910_p2_5f1538e9-107f-49c5-be23-4bd4b94de982,2001,9-10,3,10
01_910_p2_bfb41dff-0fed-4af6-9706-a792f740cdb8,2001,9-10,4,15
01_910_p3_6fa4d60e-85b9-4ee9-a0f7-c7c7e289a3ce,2001,9-10,4,18
01_910_p3_5b50057e-76cd-49f2-b16d-e46b840aca1c,2001,9-10,4,20
01_910_p3_b55b1e18-a8ed-477d-9257-f96f619a845f,2001,9-10,5,22
01_910_p4_e48b870c-94f7-472b-8db2-cba316c7d67a,2001,9-10,5,26
02_1113_ergaenzt_p1_f78c9762-b4c7-441c-876d-9dbf1ff93de6,2002,11-13,3,2
02_1113_ergaenzt_p1_fbe23643-febd-4195-8d7e-1150415eb7a2,2002,11-13,3,5
02_1113_ergaenzt_p2_e926ec23-a3ad-4449-849e-b2930be48dbb,2002,11-13,3,10
02_1113_ergaenzt_p2_75ad5780-e514-4b00-922f-e677fce852c8,2002,11-13,4,11
02_1113_ergaenzt_p2_312306c9-8f77-4dde-bfb4-03ae83d42c8b,2002,11-13,4,15
02_1113_ergaenzt_p3_3ff55061-d5fe-4eaf-84bd-b6e355e7e573,2002,11-13,4,17
02_1113_ergaenzt_p3_325580ae-6197-4a80-8a70-411c92b3267e,2002,11-13,4,19
02_1113_ergaenzt_p3_a4b8ce4d-404e-49e7-942b-3005b4813e89,2002,11-13,4,20
02_34_p1_3bddcc0b-aab4-4bd2-863b-1c1eeea64d0b,2002,3-4,3,4
02_34_p2_3ffcbc11-aad8-44ef-bc4a-bc26406e6e9a,2002,3-4,4,12
02_34_p3_70a1cdde-1e70-4472-a846-2a8422067b1f,2002,3-4,4,13
02_34_p4_cc732914-b5cb-42f9-90ba-af8ccd0a039e,2002,3-4,5,19
02_56_p2_428d4cb9-65a8-4139-b4ce-9fcb52611ea3,2002,5-6,3,8
02_56_p2_fee59fa2-7e8e-4b7f-88b9-57d5f941465b,2002,5-6,4,13
02_56_p3_77f821b6-dd4f-4d8d-8c24-4ac13ae443b7,2002,5-6,4,17
02_56_p3_ae0cd2f6-f840-4ab5-bee8-88894cd3a855,2002,5-6,4,20
02_56_p4_6f01e6e8-323c-4cba-acb5-a18a433afc22,2002,5-6,5,24
02_56_p4_b9a250e9-fd87-4e0f-a613-f8104a2d3263,2002,5-6,5,26
02_78_p1_15201a7a-b6fb-46d6-bf68-3de5adea38ca,2002,7-8,3,2
02_78_p1_928f4298-5205-457c-bba7-dc9425fcd388,2002,7-8,3,5
02_78_p1_058c9aac-8984-40ab-94f5-ce5892b41ee7,2002,7-8,3,7
02_78_p2_199bc319-3b04-4b3a-aa39-674ab03f4163,2002,7-8,4,13
02_78_p3_e7fc9ae3-58d7-49bc-87e5-89d61b25f413,2002,7-8,4,17
02_78_p3_c16409ab-094e-4252-9a5f-95b3e55dc635,2002,7-8,4,19
02_78_p4_5bfc82e3-80a7-4c42-856c-1cfcbd24bd7e,2002,7-8,5,23
02_78_p4_d4cad92a-bccf-4d3e-8f4b-c759ed2b267f,2002,7-8,5,28
02_78_p4_340d82cc-550d-4195-86a5-994ee07cb835,2002,7-8,5,29
02_910_p2_ce6d2858-285f-4b86-9bcd-cce3e092d7ba,2002,9-10,4,12
02_910_p2_cb57884b-2bc6-4fce-99b5-342402b90b47,2002,9-10,4,14
02_910_p3_f53e49c2-d367-4ebe-a50c-8aff5611c653,2002,9-10,4,16
02_910_p3_2c0699e4-fbf2-434b-83fc-ab20286c7270,2002,9-10,4,17
02_910_p3_adf08b73-6b52-41fb-88ed-480e220f3dea,2002,9-10,5,22
02_910_p4_b2e9e697-7f44-4af5-a2b8-cda6ea9afc4d,2002,9-10,5,24
02_910_p4_f5ef7564-0e06-4d9d-986a-7ff7354cde2d,2002,9-10,5,27
02_910_p4_4bcf89e6-1c48-43c0-a476-ab863625e835,2002,9-10,5,29
03_1113_p1_22c50f5c-8210-4308-a665-d6d1d95c98be,2003,11-13,3,5
03_1113_p2_d8e94274-9d54-4fee-9078-f2d2b3049663,2003,11-13,3,9
03_1113_p2_10e4dbdd-8b6d-49f3-ab96-99d74d67704c,2003,11-13,3,10
03_1113_p2_2cd24c62-6675-4a49-aa64-688545224462,2003,11-13,4,13
03_1113_p3_c3358a3c-6611-447b-ab76-64c39539a120,2003,11-13,5,21
03_1113_p4_1243cc5d-33fe-4c4e-83a7-2d71abc7f7a9,2003,11-13,5,25
03_1113_p4_44a0637f-dfca-4e6c-b0c5-8c3cd8d78759,2003,11-13,5,27
03_1113_p4_8b6b387d-8566-45ae-badd-9c7f87c5c7db,2003,11-13,5,28
03_1113_p4_6dc3ac77-f313-49e6-a452-8064678f8b1f,2003,11-13,5,30
03_34_p1_ce206c15-a941-4eb7-b7b7-442740350737,2003,3-4,3,2
03_34_p2_d2434e26-66a6-470e-b8ad-b1a4dacd84f2,2003,3-4,3,6
03_34_p2_cd7d8002-1238-4e7a-a752-2a882af20ddc,2003,3-4,4,8
03_34_p2_37f4e179-c232-4426-941f-0508f89d22a6,2003,3-4,4,10
03_34_p3_2fa9b153-4576-4a1d-9273-06df16b1d8ad,2003,3-4,4,11
03_34_p3_5a600e8e-5aed-4332-84ab-abec42d26451,2003,3-4,4,12
03_34_p3_33b6bd1e-2df5-473f-aef1-4673c3967dab,2003,3-4,4,14
03_56_p1_3ee96efb-1736-4566-bc31-6271d904db40,2003,5-6,3,5
03_56_p1_c0bef743-efa0-4460-8f66-97c609d50fa5,2003,5-6,3,7
03_56_p2_35a0919a-bfaa-4e82-afa2-01c1ad56b5a5,2003,5-6,3,9
03_56_p2_507e005a-a130-41f2-876d-bc5696013266,2003,5-6,3,10
03_56_p2_26fd7054-a053-45a1-84fb-f4745634d2f1,2003,5-6,4,14
03_56_p3_b711daf3-10e0-4ab6-a41c-fa6c73c0cc74,2003,5-6,4,17
03_56_p3_7997c69c-b927-4e50-bec1-59147c4cd6af,2003,5-6,5,23
03_56_p4_2d805580-732a-40af-b827-ab465bb7c2a2,2003,5-6,5,30
03_78_p1_122f85f1-99d5-47cc-b7ea-beabbe5c67cb,2003,7-8,3,4
03_78_p1_2d1911fe-7b10-4950-9fde-7ee828ff2569,2003,7-8,3,6
03_78_p2_544be452-8191-45f2-a3ff-b8ff58545dbe,2003,7-8,3,7
03_78_p2_970ecce8-41ee-4f43-9201-1d670c74e265,2003,7-8,3,9
03_78_p3_c2bbbea9-e732-4cea-99ae-9d4fb4daff51,2003,7-8,4,17
03_78_p3_ccb079ed-aa94-4e6f-bd5a-a1b67d1bae1d,2003,7-8,5,22
03_78_p3_8690119d-08e4-402d-bc9d-71a05e8b5576,2003,7-8,5,23
03_78_p4_c3b2f6bb-db22-4a13-81ff-bcadbb62fe5d,2003,7-8,5,29
03_910_p1_d8c7a6cd-fc98-404a-bebe-4434093cc7f4,2003,9-10,3,2
03_910_p1_23d36c69-41cc-405c-979a-b953ef3a0915,2003,9-10,3,5
03_910_p2_ecf8171e-9ff4-4766-9ec9-34349b8bbeb7,2003,9-10,3,10
03_910_p2_e676adbc-48f0-4870-bbad-2190c3d6164f,2003,9-10,4,12
03_910_p3_0b0627d5-c9bd-44c5-b804-d3ce641a4b63,2003,9-10,4,19
03_910_p3_d2746928-f3db-42c0-a1e1-46637db547c9,2003,9-10,4,20
03_910_p3_add880de-0114-48ab-80bb-f80146acdefa,2003,9-10,5,22
03_910_p4_74e9a471-6f7e-4f18-9b39-ba5ebdb6c476,2003,9-10,5,25
03_910_p4_be6b8594-f0c2-4722-8fdf-53e587367885,2003,9-10,5,28
04_1113_p1_e4675b08-2d55-467d-94fb-303c34b87c03,2004,11-13,3,4
04_1113_p2_31863af4-e169-437f-9c07-4a710e37a705,2004,11-13,3,10
04_1113_p2_4596f080-8052-4e41-8cca-7bfe977f3e92,2004,11-13,4,14
04_1113_p3_de1f522d-4730-4e30-981e-653404fbb3b3,2004,11-13,4,16
04_1113_p3_bd7fc5d3-27c5-4b42-ac18-96cd5906f00b,2004,11-13,4,18
04_1113_p3_617c2488-bde1-473f-87a1-7e3dd6e30cf2,2004,11-13,5,21
04_1113_p4_f8d90b3d-74c2-437a-a9b2-d9ee856a06f8,2004,11-13,5,25
04_1113_p4_cac39258-c317-49bd-b222-d1c1816dfdd8,2004,11-13,5,26
04_1113_p4_59b1dfbc-f102-4bf1-998b-711bbc049ebb,2004,11-13,5,30
04_34_p1_21465f76-7d59-40c5-8de6-6ca92f9724ff,2004,3-4,3,3
04_34_p1_2ad07816-6fcd-4cb2-91c6-de5b99c44274,2004,3-4,3,5
04_34_p2_aa9c931c-649b-43d0-94dc-3d8d0f52c915,2004,3-4,3,6
04_34_p2_8f88f467-82f3-4ea3-b48f-7dea0bba000b,2004,3-4,4,8
04_34_p2_714afb3d-989a-4537-b454-cd1b2879d980,2004,3-4,4,10
04_34_p3_747feb7b-7343-487d-bfe7-1d7cfdc2973f,2004,3-4,4,14
04_34_p4_f264d584-fe9e-4cb3-8cb9-2395bf1c1d33,2004,3-4,5,20
04_34_p4_ad44b395-bde8-4425-9d12-cafdea0970aa,2004,3-4,5,21
04_56_p2_521b5e12-133f-4504-b3b5-378d35622e26,2004,5-6,3,8
04_56_p2_996c61d7-2393-482a-9336-5ec2364946b2,2004,5-6,4,14
04_56_p3_b55fd188-ac92-487f-87a8-f773dc608840,2004,5-6,4,16
04_56_p3_6e73a130-6525-4eb0-8db8-53915f8ef772,2004,5-6,4,20
04_56_p3_48e98a30-c1d8-4ac3-bb38-4cf304d1a287,2004,5-6,5,22
04_56_p4_1547b618-0a14-4a98-bf9f-cf32d3675ea4,2004,5-6,5,25
04_56_p4_0fcefe0d-55cc-4d7a-8f64-aa74c7b18425,2004,5-6,5,27
04_56_p4_3d210cdf-1094-4efb-b248-125a531e728b,2004,5-6,5,29
04_78_p1_3bd251a6-0de6-4b3a-b9da-36f8017910ba,2004,7-8,3,2
04_78_p1_51230a25-c595-4f85-9119-7c21763aac35,2004,7-8,3,3
04_78_p1_fa7407aa-c142-44b0-9bb3-eb945cde54f5,2004,7-8,3,5
04_78_p1_f90a0f15-3307-4bdf-817d-2c9cafb9eab7,2004,7-8,3,6
04_78_p2_8a97f22a-643d-4b9f-94ab-5808ad23b1b0,2004,7-8,3,9
04_78_p2_910d9911-d6bf-4b7c-a907-5790985d3c3b,2004,7-8,3,10
04_78_p2_4a6a2d49-38ee-4bd3-bd29-89a1398a92ce,2004,7-8,4,15
04_78_p3_d53da424-c45c-4d46-9c86-be938e854466,2004,7-8,5,22
04_78_p4_711f4b88-5a8d-4bfb-b8e8-5f297c375d99,2004,7-8,5,25
04_78_p4_25dde6a4-d800-40a7-8882-97846a38cf08,2004,7-8,5,27
04_910_p1_1b4704a0-68d7-4fd7-a41d-3f13d9e4ea2f,2004,9-10,3,6
04_910_p2_e5771cb4-850b-4b36-9561-34a318ed7363,2004,9-10,3,8
04_910_p2_f6e65fdb-f616-4b70-8f9f-db87d4c96924,2004,9-10,3,9
04_910_p2_2b1f27bf-f5a8-4cf2-adb5-f0582b27979f,2004,9-10,4,12
04_910_p2_2dbdb25f-b045-4180-8a1d-1d27d0d3cccf,2004,9-10,4,14
04_910_p3_99c2be25-67c9-477f-9f40-0880b8741ec7,2004,9-10,4,18
04_910_p3_01e059ed-5474-4ef3-9839-9664071e359c,2004,9-10,4,19
04_910_p4_da6adb0f-34d7-44e0-8ad6-752ed68b1b9c,2004,9-10,5,24
04_910_p4_cdae7663-5f79-4c76-b0a7-fe3f32f61a5c,2004,9-10,5,25
04_910_p4_46e6e8dc-04f6-43f6-8aa0-ae30e7a830c8,2004,9-10,5,26
04_910_p4_ae7b5045-4371-4bdf-b53b-c83b72bf9265,2004,9-10,5,28
05_1113_p1_d74cfb74-acb6-4354-ad81-ca5176017509,2005,11-13,3,3
05_1113_p1_529c62ac-215e-4b39-aa2c-c2379ea8dcf6,2005,11-13,3,7
05_1113_p2_cb9d59ca-742f-452e-98a7-a15be0823348,2005,11-13,3,8
05_1113_p2_e70f5eac-9e26-4ff0-8745-4f66829c2721,2005,11-13,3,10
05_1113_p2_cbe14047-226a-4d5d-95cb-e8f9fc5b013a,2005,11-13,4,13
05_1113_p3_ff3d4afe-178e-4559-b52c-b81496ca68b4,2005,11-13,4,15
05_1113_p3_423b7151-bbc3-4e37-a5bd-1f86933966d4,2005,11-13,4,19
05_1113_p4_c4ff3ece-c977-4ea6-a878-e8244a0c584b,2005,11-13,5,27
05_1113_p4_fb2eb332-8c75-4a65-92b8-f92221e9db0e,2005,11-13,5,29
05_34_p1_ede5d502-4e62-4986-86f0-2df6eb74a75e,2005,3-4,3,1
05_34_p1_e29c0765-d960-495c-b4fc-6a932165280a,2005,3-4,3,4
05_34_p2_3e5b057c-756b-4710-a60d-86e60c316353,2005,3-4,3,5
05_34_p3_9ec5a10d-c7a7-4f62-a063-b268232ff7db,2005,3-4,4,11
05_34_p3_d314af2f-72bf-43f3-9f2a-fd6aaae51b4b,2005,3-4,5,15
05_34_p4_ee02cd64-6ab4-43eb-b4ba-929e60ad11d2,2005,3-4,5,17
05_34_p4_2eab8eac-396f-4ea8-9184-c8c31facabb6,2005,3-4,5,19
05_56_p1_afa3c6da-80a9-4f59-b00e-bf118bf80ef1,2005,5-6,3,1
05_56_p1_ba7f5b8e-a83f-48dd-8ba8-b8932cb20e68,2005,5-6,3,3
05_56_p1_db6ce8a9-b378-46b8-a9b6-aedb7c3b286d,2005,5-6,3,6
05_56_p2_09698f57-1e0a-4592-8378-5d76ccd7d163,2005,5-6,3,9
05_56_p2_ac0b60cf-e971-4ca7-9a20-d1fec4780f95,2005,5-6,3,10
05_56_p2_c48560f7-c3e1-4c94-ae78-df2a416d421f,2005,5-6,4,14
05_56_p3_1778ed17-b2ed-4150-8758-00073369a503,2005,5-6,4,16
05_56_p3_0e8b522e-f2b8-45e2-a425-b3cf0f82c859,2005,5-6,4,19
05_56_p3_e9302b02-51af-4aaf-a4b4-5919492fdfbd,2005,5-6,5,22
05_56_p4_5b7e416d-aa55-4dd6-8f83-068a060d69e1,2005,5-6,5,24
05_56_p4_5ca64e3e-8394-4d5b-8aa5-95a649f67fcf,2005,5-6,5,27
05_56_p4_0d383831-e412-4adb-ae5b-6ddc57c7bcfa,2005,5-6,5,29
05_78_p1_a0723568-467c-494d-b7e7-e915fd3eec12,2005,7-8,3,1
05_78_p1_538a40fc-a7dd-47cf-aace-e12c7d9dd9f7,2005,7-8,3,3
05_78_p1_f04db14f-602a-4984-94f3-738e73bf7d99,2005,7-8,3,5
05_78_p2_b0b64f47-1c92-4f0b-a127-c5b178044998,2005,7-8,3,10
05_78_p2_1007a08c-7073-41a7-90a8-3f7f3b6babc4,2005,7-8,4,13
05_78_p3_feca1817-399f-4495-a7d2-2938696dce7b,2005,7-8,4,18
05_78_p3_044e49fd-56da-40a0-848b-9fab0412a77d,2005,7-8,4,20
05_78_p3_81601739-c393-43d3-ad97-344ce484b610,2005,7-8,5,21
05_78_p4_b14a85a6-45f7-46cc-97e6-90653c63b07c,2005,7-8,5,23
05_78_p4_bdfb9c30-e365-4478-b0e5-836fa3eac059,2005,7-8,5,25
05_78_p4_08dff2e0-06de-42e3-9c13-83d413d7908a,2005,7-8,5,29
05_910_p1_da3adb00-bf1d-42bc-abee-aa43bfe195a8,2005,9-10,3,2
05_910_p1_4942ae6f-8f2c-44cc-97c4-54f1646da096,2005,9-10,3,5
05_910_p2_a2c55a52-2fc8-4433-932e-cfe3973d94f4,2005,9-10,3,8
05_910_p2_e559c69d-c7c5-4c7d-8523-ced33a72038b,2005,9-10,4,14
05_910_p3_af24fc5e-f0e0-463e-9e07-bceaf6a4ce97,2005,9-10,4,16
05_910_p3_9bfea78c-d588-4784-b281-587f54898a0a,2005,9-10,5,21
05_910_p4_f5d415eb-4f13-4eb2-bb24-d4e14bd41d4e,2005,9-10,5,25
05_910_p4_daf8b207-b7d5-4a53-ab3a-f4d455c5744a,2005,9-10,5,27
05_910_p4_a419b84e-835f-48e3-9107-4219d6b54bdb,2005,9-10,5,28
05_910_p4_d5c5ad87-afa7-4ce8-93d9-b48727e58478,2005,9-10,5,30
06_1113_p1_6f1d322d-8bae-4bfc-ad93-6d3647d1544f,2006,11-13,3,3
06_1113_p2_c9f5ec4c-78b5-488b-bcc2-d5b3c025a8d4,2006,11-13,3,7
06_1113_p2_06f6077b-3d1d-4db5-af8c-ab53086fa81b,2006,11-13,3,9
06_1113_p2_ddb9f285-88f4-4db3-80fa-a3bd58c543b4,2006,11-13,3,10
06_1113_p3_762bc72c-b2f1-40e0-a5f2-c47a844031f7,2006,11-13,4,15
06_1113_p3_2f1937c0-79c5-49f4-9390-838fbead3e3c,2006,11-13,4,17
06_1113_p3_27827dfd-3e14-4691-886f-ae68aa6e22af,2006,11-13,4,19
06_1113_p3_f53dc758-0220-4041-95e7-ebc3bcf398de,2006,11-13,4,20
06_1113_p4_b76fb026-c3a3-4e16-803c-e45dc63bd2d2,2006,11-13,5,22
06_1113_p4_732ecbe2-f531-4d61-82fa-74655f2c4d48,2006,11-13,5,24
06_1113_p4_c2f4458b-f95f-4615-89d1-3160bdce541e,2006,11-13,5,28
06_1113_p4_44bc48c7-b221-4a1e-9b4d-f84314976ee3,2006,11-13,5,30
06_34_p1_bd1e28b5-e2c1-4820-9f98-bccc21e05607,2006,3-4,3,3
06_34_p2_f9a880a4-f8ad-469a-8575-7c42c12f9ae4,2006,3-4,3,7
06_34_p2_e40ebe32-e96f-4cda-8155-048ee1caa426,2006,3-4,4,10
06_34_p2_584279b2-2a6f-4978-901f-01088d33c835,2006,3-4,4,11
06_34_p3_e5cdc195-660a-40cc-b7b0-d8e8c3ed14a7,2006,3-4,4,13
06_34_p3_49e9cd58-6a3f-4f31-a2cf-eaeada89a78a,2006,3-4,5,15
06_34_p4_15d3e33d-090e-49fa-937a-7a3eb11a0dc2,2006,3-4,5,18
06_34_p4_f6467908-4051-4ab6-96c6-484ca26f388c,2006,3-4,5,19
06_56_p1_c9193a69-fab3-43a1-a601-c8d753c74376,2006,5-6,3,1
06_56_p1_11b7c14d-57f1-4543-823e-ecad6a11e533,2006,5-6,3,3
06_56_p1_866cc5e1-2fcb-4fab-ad47-9ae9397e2a4c,2006,5-6,3,7
06_56_p2_f9a255e1-63bf-4b56-b0a3-98096e1bff9e,2006,5-6,3,8
06_56_p2_f36e794f-a96a-4cfb-af7c-f915f92d1a35,2006,5-6,4,13
06_56_p2_e1c8b577-395a-4c6e-baae-d37cd1c46f04,2006,5-6,4,14
06_56_p3_f11a89e7-457e-4cec-a1f8-857a55bf4cba,2006,5-6,4,18
06_56_p3_e35fc473-cda4-48c4-a5d3-40e42e41cfd6,2006,5-6,4,19
06_56_p3_c026ca60-044b-4754-bfd5-9f9fec0e9036,2006,5-6,4,20
06_56_p4_8b2837da-7c56-40f4-97d5-e789048772b4,2006,5-6,5,24
06_56_p4_50b619af-b532-4623-8ef4-544f321febb9,2006,5-6,5,26
06_56_p4_a8a61f21-afd1-4d2e-969f-b2fe769976bb,2006,5-6,5,30
06_78_p1_d533db16-c1d8-4eb2-9e0f-e5164cce4374,2006,7-8,3,3
06_78_p1_d483d136-1bbb-4a67-a650-7bd2cb8b4c00,2006,7-8,3,7
06_78_p2_fb4f66fc-8157-44be-9942-134f604830e1,2006,7-8,4,15
06_78_p3_4cfcbd10-d3d8-4733-b968-56312f78fd0a,2006,7-8,4,20
06_78_p4_db2fd7b0-d35c-4dac-a162-0a8d6672c9f0,2006,7-8,5,24
06_910_p1_e69553ed-7d6e-4054-8096-f9c6e4ba8f77,2006,9-10,3,3
06_910_p1_df577d3d-aa6b-4550-93e9-db24cae42c7a,2006,9-10,3,7
06_910_p2_a8f3908c-3618-4cc1-bd6d-79dd7dad489e,2006,9-10,3,10
06_910_p2_0de18295-681c-4465-885b-03db419020b9,2006,9-10,4,12
06_910_p2_d0426992-ee62-434e-8836-d4d1f678231e,2006,9-10,4,15
06_910_p3_0063604c-748d-417e-bf8e-dad1768c0f68,2006,9-10,4,17
06_910_p3_f680c727-28eb-4511-93de-7de930ae3bc2,2006,9-10,4,18
06_910_p4_18879761-dbe8-4e2f-85e3-e030adc6b74f,2006,9-10,5,26
06_910_p4_1e979e80-2c43-454d-a318-471759638e17,2006,9-10,5,28
07_1113_p1_49eee48c-a056-48ad-b6b9-a339e0416cc9,2007,11-13,3,1
07_1113_p1_f9c96e21-edce-4e0c-83c4-49e04bfe69f9,2007,11-13,3,3
07_1113_p1_9aed2c19-b630-4031-b4dd-b2d34e0a9c14,2007,11-13,3,5
07_1113_p2_8b311c08-fae8-4662-89d7-7dd58dc554b5,2007,11-13,3,9
07_1113_p2_6a8e8e58-4843-4c06-aa08-77306d3a6229,2007,11-13,4,15
07_1113_p3_64812ded-7212-48d8-afba-07eab0a8efde,2007,11-13,4,16
07_1113_p4_e5525539-d80b-4a8a-8008-5e26e260a7f8,2007,11-13,5,25
07_34_p1_01a52326-450d-4369-bf3a-1c08b48fa217,2007,3-4,3,2
07_34_p2_860288f0-817f-465e-abde-536b968ebe6a,2007,3-4,3,7
07_34_p2_47b70f3a-d16b-4e78-b74e-07e36aa75266,2007,3-4,4,10
07_34_p3_8092de30-7012-4285-90a5-e30538518755,2007,3-4,5,16
07_34_p4_8d3be26b-c9fc-491a-8f61-62e39b116cad,2007,3-4,5,18
07_56_p1_03e250bf-c8d7-4820-9de6-5b637ab456a6,2007,5-6,3,1
07_56_p2_8af20ac0-5eac-469c-89a3-db2d9d4bfd4e,2007,5-6,3,10
07_56_p2_9dd733f8-a3f3-4992-9f73-9e4b0dca5631,2007,5-6,4,13
07_56_p3_fab273b8-7a5e-4815-b04d-21602c6c83a5,2007,5-6,4,18
07_56_p3_3a66d77e-11fb-475b-b299-b7c9fa1e34be,2007,5-6,4,19
07_56_p4_0798ebba-7b5c-40f3-9a23-17f27eaf1fd0,2007,5-6,5,23
07_56_p4_30b8c0a8-1316-4a21-b34b-63001305aec5,2007,5-6,5,25
07_56_p4_0921c026-00ab-4650-9112-56a9e87c62f3,2007,5-6,5,29
07_56_p4_93c9d001-12d6-449e-97e9-4f75a2f7f31e,2007,5-6,5,30
